Team Name,Group Name,Player Name,Position
Bosnia-Herzegovina,B,Samed Bazdar,FW
Bosnia-Herzegovina,B,Haris Tabakovic,FW
Bosnia-Herzegovina,B,Edin Dzeko,FW
Qatar,B,Salah Zakaria,GK
Qatar,B,Mahmoud Abunada,GK
Qatar,B,Meshaal Barsham,GK
Qatar,B,Hashmi Hussein,DF
Qatar,B,Ayoub Alawi,DF
Qatar,B,Boualem Khoukhi,DF
Qatar,B,Pedro Miguel,DF
Qatar,B,Issa Laaye,DF
Qatar,B,Lucas Mendes,DF
Qatar,B,Sultan Al-Brake,DF
Qatar,B,Homam Al-Amin,DF
Qatar,B,Mohammed Al-Manai,MF
Qatar,B,Jassem Jaber,MF
Qatar,B,Karim Boudiaf,MF
Qatar,B,Ahmed Fathi,MF
Qatar,B,Abdulaziz Hatem,MF
Qatar,B,Assim Madibo,MF
Qatar,B,Tahseen Mohammed,FW
Qatar,B,Edmilson Junior,FW
Qatar,B,Almoez Ali,FW
Qatar,B,Akram Afif,FW
Qatar,B,Mohammed Muntari,FW
Qatar,B,Youssef Abdulrazzaq,FW
Qatar,B,Ahmed Alaa,FW
Qatar,B,Hassan Al-Haydos,FW
Qatar,B,Ahmed Al-Janahi,FW
Switzerland,B,Marvin Keller,GK
Switzerland,B,Gregor Kobel,GK
Switzerland,B,Yvon Mvogo,GK
Switzerland,B,Manuel Akanji,DF
Switzerland,B,Aurele Amenda,DF
Switzerland,B,Eray Comert,DF
Switzerland,B,Nico Elvedi,DF
Switzerland,B,Luca Jaquez,DF
Switzerland,B,Miro Muheim,DF
Switzerland,B,Ricardo Rodriguez,DF
Switzerland,B,Silvan Widmer,DF
Switzerland,B,Michel Aebischer,MF
Switzerland,B,Christian Fassnacht,MF
Switzerland,B,Remo Freuler,MF
Switzerland,B,Ardon Jashari,MF
Switzerland,B,Johan Manzambi,MF
Switzerland,B,Fabian Rieder,MF
Switzerland,B,Djibril Sow,MF
Switzerland,B,Ruben Vargas,MF
Switzerland,B,Granit Xhaka,MF
Switzerland,B,Denis Zakaria,MF
Switzerland,B,Zeki Amdouni,FW
Switzerland,B,Breel Embolo,FW
Switzerland,B,Cedric Itten,FW
Switzerland,B,Dan Ndoye,FW
Switzerland,B,Noah Okafor,FW
Brazil,C,Alisson,GK
Brazil,C,Ederson,GK
Brazil,C,Weverton,GK
Brazil,C,Marquinhos,DF
Brazil,C,Gabriel,DF
Brazil,C,Bremer,DF
Brazil,C,Ibanez,DF
Brazil,C,Leo Pereira,DF
Brazil,C,Wesley,DF
Brazil,C,Danilo,DF
Brazil,C,Alex Sandro,DF
Brazil,C,Douglas Santos,DF
Brazil,C,Casemiro,MF
Brazil,C,Bruno Guimaraes,MF
Brazil,C,Fabinho,MF
Brazil,C,Danilo,MF
Brazil,C,Lucas Paqueta,MF
Brazil,C,Vinicius Junior,FW
Brazil,C,Raphinha,FW
Brazil,C,Matheus Cunha,FW
Brazil,C,Luiz Henrique,FW
Brazil,C,Igor Thiago,FW
Brazil,C,Endrick,FW
Brazil,C,Gabriel Martinelli,FW
Brazil,C,Rayan,FW
Brazil,C,Neymar Jr,FW
Morocco,C,Yassine Bounou,GK
Morocco,C,Munir Mohamedi,GK
Morocco,C,Ahmed Tagnaouti,GK
Morocco,C,Noussair ⁠Mazraoui,DF
Morocco,C,Anass Salah-Eddine,DF
Morocco,C,Youssef Belammari,DF
Morocco,C,Nayef Aguerd,DF
Morocco,C,Chadi Riad,DF
Morocco,C,Issa Diop,DF
Morocco,C,Redouane Halhal,DF
Morocco,C,Achraf Hakimi,DF
Morocco,C,Zakaria El Ouahdi,DF
Morocco,C,Samir El Mourabet,MF
Morocco,C,Ayyoub ⁠Bouaddi,MF
Morocco,C,Neil El Aynaoui,MF
Morocco,C,Sofyan Amrabat,MF
Morocco,C,Azzedine Ounahi,MF
Morocco,C,Bilal El Khannouss,MF
Morocco,C,Ismael Saibari,MF
Morocco,C,Abdessamad Ezzalzouli,FW
Morocco,C,Chemsdine Talbi,FW
Morocco,C,Soufiane Rahimi,FW
Morocco,C,Ayoub El Kaabi,FW
Morocco,C,Brahim Diaz,FW
Morocco,C,Yassine Gessime,FW
Morocco,C,Ayoub Amaimouni-Echghouyabe,FW
Haiti,C,Johnny Placide,GK
Haiti,C,Alexandre Pierre,GK
Haiti,C,Josue Duverger,GK
Haiti,C,Carlens Arcus,DF
Haiti,C,Wilguens Pauguain,DF
Haiti,C,Duke Lacroix,DF
Haiti,C,Martin Experience,DF
Haiti,C,Jean-Kevin Duverne,DF
Haiti,C,Ricardo Ade,DF
Haiti,C,Hannes Delcroix,DF
Haiti,C,Keeto Thermoncy,DF
Haiti,C,Leverton Pierre,MF
Haiti,C,Carl-Fred Sainthe,MF
Haiti,C,Jean-Jacques Danley,MF
Haiti,C,Jean-Ricner Bellegarde,MF
Haiti,C,Pierre Woodenski,MF
Haiti,C,Dominique Simon,MF
Haiti,C,Louicius Deedson,FW
Haiti,C,Ruben Providence,FW
Haiti,C,Josue Casimir,FW
Haiti,C,Derrick Etienne,FW
Haiti,C,Wilson Isidor,FW
Haiti,C,Duckens Nazon,FW
Haiti,C,Frantzdy Pierrot,FW
Haiti,C,Yassin Fortune,FW
Haiti,C,Lenny Joseph,FW
Scotland,C,Craig Gordon,GK
Scotland,C,Angus Gunn,GK
Scotland,C,Liam Kelly,GK
Scotland,C,Grant Hanley,DF
Scotland,C,Jack Hendry,DF
Scotland,C,Aaron Hickey,DF
Scotland,C,Dom Hyam,DF
Scotland,C,Scott McKenna,DF
Scotland,C,Nathan Patterson,DF
Scotland,C,Anthony Ralston,DF
Scotland,C,Andy Robertson,DF
Scotland,C,John Souttar,DF
Scotland,C,Kieran Tierney,DF
Scotland,C,Ryan Christie,MF
Scotland,C,Findlay Curtis,MF
Scotland,C,Lewis Ferguson,MF
Scotland,C,Ben Gannon-Doak,MF
Scotland,C,Tyler Fletcher,MF
Scotland,C,John McGinn,MF
Scotland,C,Kenny McLean,MF
Scotland,C,Scott McTominay,MF
Scotland,C,Che Adams,FW
Scotland,C,Lyndon Dykes,FW
Scotland,C,George Hirst,FW
Scotland,C,Lawrence Shankland,FW
Scotland,C,Ross Stewart,FW
USA,D,Chris Brady,GK
USA,D,Matt Freese,GK
USA,D,Matt Turner,GK
USA,D,Max Arfsten,DF
USA,D,Sergino Dest,DF
USA,D,Alex Freeman,DF
USA,D,Mark McKenzie,DF
USA,D,Tim Ream,DF
USA,D,Chris Richards,DF
USA,D,Antonee Robinson,DF
USA,D,Miles Robinson,DF
USA,D,Joe Scally,DF
USA,D,Auston Trusty,DF
USA,D,Tyler Adams,MF
USA,D,Sebastian Berhalter,MF
USA,D,Weston McKennie,MF
USA,D,Gio Reyna,MF
USA,D,Cristian Roldan,MF
USA,D,Malik Tillman,MF
USA,D,Brenden Aaronson,FW
USA,D,Folarin Balogun,FW
USA,D,Ricardo Pepi,FW
USA,D,Christian Pulisic,FW
USA,D,Tim Weah,FW
USA,D,Haji Wright,FW
USA,D,Alejandro Zendejas,FW
Paraguay,D,Roberto Junior Fernandez,GK
Paraguay,D,Orlando Gill,GK
Paraguay,D,Gaston Olveira,GK
Paraguay,D,Omar Alderete,DF
Paraguay,D,Junior Alonso,DF
Paraguay,D,Fabian Balbuena,DF
Paraguay,D,Juan Jose Caceres,DF
Paraguay,D,Jose Canale,DF
Paraguay,D,Gustavo Gomez,DF
Paraguay,D,Alexandro Maidana,DF
Paraguay,D,Gustavo Velazquez,DF
Paraguay,D,Damian Bobadilla,MF
Paraguay,D,Gustavo Caballero,MF
Paraguay,D,Andres Cubas,MF
Paraguay,D,Matias Galarza,MF
Paraguay,D,Diego Gomez,MF
Paraguay,D,Mauricio Magalhaes,MF
Paraguay,D,Briaian Ojeda,MF
Paraguay,D,Alejandro Romero,MF
Paraguay,D,Miguel Almiron,FW
Paraguay,D,Gabriel Avalos,FW
Paraguay,D,Alex Arce,FW
Paraguay,D,Julio Enciso,FW
Paraguay,D,Isidro Pitta,FW
Paraguay,D,Antonio Sanabria,FW
Paraguay,D,Ramon Sosa,FW
Australia,D,Maty Ryan,GK
Australia,D,Paul Izzo,GK
Australia,D,Patrick Beach,GK
Australia,D,Aziz Behich,DF
Australia,D,Jordan Bos,DF
Australia,D,Cameron Burgess,DF
Australia,D,Alessandro Circati,DF
Australia,D,Milos Degenek,DF
Australia,D,Jason Geria,DF
Australia,D,Lucas Herrington,DF
Australia,D,Jacob Italiano,DF
Australia,D,Harry Souttar,DF
Australia,D,Kai Trewin,DF
Australia,D,Cameron Devlin,MF
Australia,D,Ajdin Hrustic,MF
Australia,D,Jackson Irvine,MF
Australia,D,Connor Metcalfe,MF
Australia,D,Aiden O'Neill,MF
Australia,D,Paul Okon-Engstler,MF
Australia,D,Nestory Irankunda,FW
Australia,D,Mathew Leckie,FW
Australia,D,Awer Mabil,FW
Australia,D,Mohamed Toure,FW
Australia,D,Nishan Velupillay,FW
Australia,D,Cristian Volpato,FW
Australia,D,Tete Yengi,FW
Turkey,D,Ugurcan Cakir,GK
Turkey,D,Altay Bayindir,GK
Turkey,D,Mert Gunok,GK
Turkey,D,Ferdi Kadioglu,DF
Turkey,D,Merih Demiral,DF
Turkey,D,Zeki Celik,DF
Turkey,D,Ozan Kabak,DF
Turkey,D,Mert Muldur,DF
Turkey,D,Abdulkerim Bardakci,DF
Turkey,D,Eren Elmali,DF
Turkey,D,Caglar Soyuncu,DF
Turkey,D,Samet Akaydin,DF
Turkey,D,Arda Guler,MF
Turkey,D,Can Uzun,MF
Turkey,D,Orkun Kokcu,MF
Turkey,D,Hakan Calhanoglu,MF
Turkey,D,Ismail Yuksek,MF
Turkey,D,Kaan Ayhan,MF
Turkey,D,Salih Ozcan,MF
Turkey,D,Kenan Yildiz,FW
Turkey,D,Baris Alper Yilmaz,FW
Turkey,D,Kerem Akturkoglu,FW
Turkey,D,Yunus Akgun,FW
Turkey,D,Oguz Aydin,FW
Turkey,D,Deniz Gul,FW
Turkey,D,Irfan Can Kahveci,FW
Germany,E,Oliver Baumann,GK
Germany,E,Manuel Neuer,GK
Germany,E,Alexander Nubel,GK
Germany,E,Waldemar Anton,DF
Germany,E,Nathaniel Brown,DF
Germany,E,David Raum,DF
Germany,E,Antonio Rudiger,DF
Germany,E,Nico Schlotterbeck,DF
Germany,E,Jonathan Tah,DF
Germany,E,Malick Thiaw,DF
Germany,E,Pascal Gross,MF
Germany,E,Joshua Kimmich,MF
Germany,E,Felix Nmecha,MF
Germany,E,Aleksandar Pavlovic,MF
Germany,E,Angelo Stiller,MF
Germany,E,Leon Goretzka,MF
Germany,E,Florian Wirtz,MF
Germany,E,Jamie Leweling,MF
Germany,E,Maximilian Beier,FW
Germany,E,Kai Havertz,FW
Germany,E,Assan Ouédraogo,FW
Germany,E,Jamal Musiala,FW
Germany,E,Leroy Sane,FW
Germany,E,Deniz Undav,FW
Germany,E,Nick Woltemade,FW
Curacao,E,Tyrick Bodak,GK
Curacao,E,Trevor Doornbusch,GK
Curacao,E,Eloy Room,GK
Curacao,E,Riechedly Bazoer,DF
Curacao,E,Joshua Brenet,DF
Curacao,E,Roshon van Eijma,DF
Curacao,E,Sherel Floranus,DF
Curacao,E,Deveron Fonville,DF
Curacao,E,Jurien Gaari,DF
Curacao,E,Armando Obispo,DF
Curacao,E,Shurandy Sambo,DF
Curacao,E,Juninho Bacuna,MF
Curacao,E,Leandro Bacuna,MF
Curacao,E,Livano Comenencia,MF
Curacao,E,Kevin Felida,MF
Curacao,E,Ar'Jany Martha,MF
Curacao,E,Tyrese Noslin,MF
Curacao,E,Godfried Roemeratoe,MF
Curacao,E,Jeremy Antonisse,FW
Curacao,E,Tahith Chong,FW
Curacao,E,Kenji Gorre,FW
Curacao,E,Sontje Hansen,FW
Curacao,E,Gervane Kastaneer,FW
Curacao,E,Brandley Kuwas,FW
Curacao,E,Jurgen Locadia,FW
Curacao,E,Jearl Margaritha,FW
Ivory Coast,E,Yahia Fofana,GK
Ivory Coast,E,Mohamed Kone,GK
Ivory Coast,E,Alban Lafont,GK
Ivory Coast,E,Emmanuel Agbadou,DF
Ivory Coast,E,Clement Akpa,DF
Ivory Coast,E,Ousmane Diomande,DF
Ivory Coast,E,Guela Doue,DF
Ivory Coast,E,Ghislain Konan,DF
Ivory Coast,E,Odilon Kossounou,DF
Ivory Coast,E,Evan Ndicka,DF
Ivory Coast,E,Wilfried Singo,DF
Ivory Coast,E,Seko Fofana,MF
Ivory Coast,E,Parfait Guiagon,MF
Ivory Coast,E,Christ Inao Oulai,MF
Ivory Coast,E,Franck Kessie,MF
Ivory Coast,E,Ibrahim Sangare,MF
Ivory Coast,E,Jean-Michael Seri,MF
Ivory Coast,E,Simon Adingra,FW
Ivory Coast,E,Ange-Yoan Bonny,FW
Ivory Coast,E,Amad Diallo,FW
Ivory Coast,E,Oumar Diakite,FW
